Account,Month,Recognized,MH,Org_name
019 - Corporation Financière l’Excellence - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 7.00 adhésions à $6.00,8/1/2018 0:00:00,42,0,019 - Corp. Financière L'Excellence - QC
019 - Corporation Financière l’Excellence - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 6.00 adhésions à $6.00,11/1/2018 0:00:00,36,0,019 - Corp. Financière L'Excellence - QC
019 - Corporation Financière l’Excellence - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 6.03 adhésions à $6.00,10/1/2018 0:00:00,36.18,0,019 - Corp. Financière L'Excellence - QC
019 - Corporation Financière l’Excellence - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 6.23 adhésions à $6.00,9/1/2018 0:00:00,37.38,0,019 - Corp. Financière L'Excellence - QC
020 - Fundex Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 1.00 memberships at $6.00,8/1/2018 0:00:00,6,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- November 2018 ---- 92.07 memberships at $6.00,11/1/2018 0:00:00,552.42,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 1.00 memberships at $6.00,10/1/2018 0:00:00,6,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 1.00 memberships at $6.00,9/1/2018 0:00:00,6,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 3.00 memberships at $6.00,8/1/2018 0:00:00,18,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 3.00 memberships at $6.00,10/1/2018 0:00:00,18,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 3.00 memberships at $6.00,9/1/2018 0:00:00,18,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - ON - Overpayment,8/1/2018 0:00:00,0.23,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 92.06 memberships at $6.00,8/1/2018 0:00:00,552.36,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 88.10 memberships at $6.00,10/1/2018 0:00:00,528.6,0,020 - Fundex Inc.
020 - Fundex Investments Inc. - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 90.33 memberships at $6.00,9/1/2018 0:00:00,541.98,0,020 - Fundex Inc.
"022 - Industrielle Alliance, Fiducie inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 2.00 adhésions à $6.00",8/1/2018 0:00:00,12,0,022 - IA Trust Inc.
"022 - Industrielle Alliance, Fiducie inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 2.00 adhésions à $6.00",11/1/2018 0:00:00,12,0,022 - IA Trust Inc.
"022 - Industrielle Alliance, Fiducie inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 2.00 adhésions à $6.00",10/1/2018 0:00:00,12,0,022 - IA Trust Inc.
"022 - Industrielle Alliance, Fiducie inc. - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 2.00 adhésions à $6.00",9/1/2018 0:00:00,12,0,022 - IA Trust Inc.
027 - Industrielle Alliance - Valeurs Mobilières - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 12.03 adhésions à $6.00,8/1/2018 0:00:00,72.18,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- novembre 2018 ---- 373.20 adhésions à $6.00,11/1/2018 0:00:00,2239.2,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 13.00 adhésions à $6.00,10/1/2018 0:00:00,78,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - AB - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 12.87 adhésions à $6.00,9/1/2018 0:00:00,77.22,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 12.00 adhésions à $6.00,8/1/2018 0:00:00,72,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 12.00 adhésions à $6.00,10/1/2018 0:00:00,72,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - BC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 12.00 adhésions à $6.00,9/1/2018 0:00:00,72,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - NS - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 1.00 adhésions à $6.00,8/1/2018 0:00:00,6,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - NS - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 1.00 adhésions à $6.00,10/1/2018 0:00:00,6,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - NS - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 1.00 adhésions à $6.00,9/1/2018 0:00:00,6,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 239.10 adhésions à $6.00,8/1/2018 0:00:00,1434.6,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 247.10 adhésions à $6.00,10/1/2018 0:00:00,1482.6,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - ON - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 241.67 adhésions à $6.00,9/1/2018 0:00:00,1450.02,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- août 2018 ---- 103.19 adhésions à $6.00,8/1/2018 0:00:00,619.14,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- octobre 2018 ---- 107.13 adhésions à $6.00,10/1/2018 0:00:00,642.78,0,027 - IA Securities Inc.
027 - Industrielle Alliance - Valeurs Mobilières - QC - Accès illimité aux infirmières et aux médecins sur la plateforme Dialogue --------------- septembre 2018 ---- 105.67 adhésions à $6.00,9/1/2018 0:00:00,634.02,0,027 - IA Securities Inc.
028 - iA Clarington Investments Inc. - AB - Round off difference,11/1/2018 0:00:00,-0.01,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 8.00 memberships at $6.00,8/1/2018 0:00:00,48,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- November 2018 ---- 198.07 memberships at $6.00,11/1/2018 0:00:00,1188.42,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 8.00 memberships at $6.00,10/1/2018 0:00:00,48,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 8.00 memberships at $6.00,9/1/2018 0:00:00,48,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 6.97 memberships at $6.00,8/1/2018 0:00:00,41.82,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 7.00 memberships at $6.00,10/1/2018 0:00:00,42,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 7.00 memberships at $6.00,9/1/2018 0:00:00,42,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - NS - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 1.00 memberships at $6.00,8/1/2018 0:00:00,6,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - NS - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 1.00 memberships at $6.00,10/1/2018 0:00:00,6,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - NS - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 1.00 memberships at $6.00,9/1/2018 0:00:00,6,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 10.00 memberships at $6.00,8/1/2018 0:00:00,60,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - ON- - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 172.06 memberships at $6.00,10/1/2018 0:00:00,1032.36,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - ON- - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 169.53 memberships at $6.00,9/1/2018 0:00:00,1017.18,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 166.23 memberships at $6.00,8/1/2018 0:00:00,997.38,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 10.00 memberships at $6.00,10/1/2018 0:00:00,60,0,028 - IA Clarington Inc.
028 - iA Clarington Investments Inc. - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 9.17 memberships at $6.00,9/1/2018 0:00:00,55.02,0,028 - IA Clarington Inc.
029 - IAIC - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 9.00 memberships at $6.00,8/1/2018 0:00:00,54,0,029 - IA Investment Counsel Inc.
029 - IAIC - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- November 2018 ---- 135.63 memberships at $6.00,11/1/2018 0:00:00,813.78,0,029 - IA Investment Counsel Inc.
029 - IAIC - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 9.00 memberships at $6.00,10/1/2018 0:00:00,54,0,029 - IA Investment Counsel Inc.
029 - IAIC - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 9.00 memberships at $6.00,9/1/2018 0:00:00,54,0,029 - IA Investment Counsel Inc.
029 - IAIC - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 3.00 memberships at $6.00,8/1/2018 0:00:00,18,0,029 - IA Investment Counsel Inc.
029 - IAIC - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 3.00 memberships at $6.00,10/1/2018 0:00:00,18,0,029 - IA Investment Counsel Inc.
029 - IAIC - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 3.00 memberships at $6.00,9/1/2018 0:00:00,18,0,029 - IA Investment Counsel Inc.
029 - IAIC - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 19.13 memberships at $6.00,8/1/2018 0:00:00,114.78,0,029 - IA Investment Counsel Inc.
029 - IAIC - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 19.00 memberships at $6.00,10/1/2018 0:00:00,114,0,029 - IA Investment Counsel Inc.
029 - IAIC - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 19.00 memberships at $6.00,9/1/2018 0:00:00,114,0,029 - IA Investment Counsel Inc.
029 - IAIC - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 11.00 memberships at $6.00,8/1/2018 0:00:00,66,0,029 - IA Investment Counsel Inc.
029 - IAIC - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 11.00 memberships at $6.00,10/1/2018 0:00:00,66,0,029 - IA Investment Counsel Inc.
029 - IAIC - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 11.00 memberships at $6.00,9/1/2018 0:00:00,66,0,029 - IA Investment Counsel Inc.
030 - TEFC (T.E. Financial Consultants) - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 19.97 memberships at $6.00,8/1/2018 0:00:00,119.82,0,
030 - TEFC (T.E. Financial Consultants) - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 18.03 memberships at $6.00,10/1/2018 0:00:00,108.18,0,
030 - TEFC (T.E. Financial Consultants) - AB - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 19.17 memberships at $6.00,9/1/2018 0:00:00,115.02,0,
030 - TEFC (T.E. Financial Consultants) - BC - Round off difference,9/1/2018 0:00:00,-0.01,0,
030 - TEFC (T.E. Financial Consultants) - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 6.00 memberships at $6.00,8/1/2018 0:00:00,36,0,
030 - TEFC (T.E. Financial Consultants) - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 5.00 memberships at $6.00,10/1/2018 0:00:00,30,0,
030 - TEFC (T.E. Financial Consultants) - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 5.17 memberships at $6.00,9/1/2018 0:00:00,31.02,0,
030 - TEFC (T.E. Financial Consultants) - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 54.00 memberships at $6.00,8/1/2018 0:00:00,324,0,
030 - TEFC (T.E. Financial Consultants) - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 54.00 memberships at $6.00,10/1/2018 0:00:00,324,0,
030 - TEFC (T.E. Financial Consultants) - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 54.00 memberships at $6.00,9/1/2018 0:00:00,324,0,
030 - TEFC (T.E. Financial Consultants) - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 17.00 memberships at $6.00,8/1/2018 0:00:00,102,0,
030 - TEFC (T.E. Financial Consultants) - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 17.03 memberships at $6.00,10/1/2018 0:00:00,102.18,0,
030 - TEFC (T.E. Financial Consultants) - QC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 17.87 memberships at $6.00,9/1/2018 0:00:00,107.22,0,
031 - Felcom - ON - Round off difference,8/1/2018 0:00:00,0.01,0,031 - Felcom Data Services Inc.
031 - Felcom - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 28.03 memberships at $6.00,8/1/2018 0:00:00,168.18,0,031 - Felcom Data Services Inc.
031 - Felcom - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- November 2018 ---- 30.10 memberships at $6.00,11/1/2018 0:00:00,180.6,0,031 - Felcom Data Services Inc.
031 - Felcom - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 30.03 memberships at $6.00,10/1/2018 0:00:00,180.18,0,031 - Felcom Data Services Inc.
031 - Felcom - ON - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 29.77 memberships at $6.00,9/1/2018 0:00:00,178.62,0,031 - Felcom Data Services Inc.
032 - Forstrong - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- August 2018 ---- 1.00 memberships at $6.00,8/1/2018 0:00:00,6,0,032 - Forstrong global Asset Management Inc.
032 - Forstrong - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- November 2018 ---- 9.00 memberships at $6.00,11/1/2018 0:00:00,54,0,032 - Forstrong global Asset Management Inc.
032 - Forstrong - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- October 2018 ---- 1.00 memberships at $6.00,10/1/2018 0:00:00,6,0,032 - Forstrong global Asset Management Inc.
032 - Forstrong - BC - Unlimited access to nurses and physicians on Dialogue platform -------------------------- September 2018 ---- 1.00 memberships at $6.00,9/1/2018 0:00:00,6,0,032 - Forstrong global Asset Management Inc.
032 - Forstrong - ON - Round off difference,10/1/2018 0:00:00,0.01,0,032 - Forstrong global Asset Management Inc.
